2024-07-20 21:16:24,320 INFO    MainThread:419492 [wandb_setup.py:_flush():76] Configure stats pid to 419492
2024-07-20 21:16:24,321 INFO    MainThread:419492 [wandb_setup.py:_flush():76] Loading settings from /home/pi/.config/wandb/settings
2024-07-20 21:16:24,321 INFO    MainThread:419492 [wandb_setup.py:_flush():76] Loading settings from /home/pi/Downloads/LocomotionWithNP3O-master/wandb/settings
2024-07-20 21:16:24,321 INFO    MainThread:419492 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-20 21:16:24,321 INFO    MainThread:419492 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': './train.py'}
2024-07-20 21:16:24,321 INFO    MainThread:419492 [wandb_init.py:_log_setup():461] Logging user logs to /home/pi/Downloads/LocomotionWithNP3O-master/wandb/run-20240720_211624-dymi7dix/logs/debug.log
2024-07-20 21:16:24,321 INFO    MainThread:419492 [wandb_init.py:_log_setup():462] Logging internal logs to /home/pi/Downloads/LocomotionWithNP3O-master/wandb/run-20240720_211624-dymi7dix/logs/debug-internal.log
2024-07-20 21:16:24,321 INFO    MainThread:419492 [wandb_init.py:init():495] calling init triggers
2024-07-20 21:16:24,321 INFO    MainThread:419492 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2024-07-20 21:16:24,321 INFO    MainThread:419492 [wandb_init.py:init():548] starting backend
2024-07-20 21:16:24,321 INFO    MainThread:419492 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-20 21:16:24,338 INFO    MainThread:419492 [backend.py:ensure_launched():217] starting backend process...
2024-07-20 21:16:24,352 INFO    MainThread:419492 [backend.py:ensure_launched():222] started backend process with pid: 419989
2024-07-20 21:16:24,353 INFO    MainThread:419492 [wandb_init.py:init():558] backend started and connected
2024-07-20 21:16:24,357 INFO    MainThread:419492 [wandb_init.py:init():634] updated telemetry
2024-07-20 21:16:24,358 INFO    MainThread:419492 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2024-07-20 21:16:25,672 INFO    MainThread:419492 [wandb_run.py:_on_init():1919] communicating current version
2024-07-20 21:16:30,672 INFO    MainThread:419492 [wandb_run.py:_on_init():1923] got version response None
2024-07-20 21:16:30,672 INFO    MainThread:419492 [wandb_init.py:init():700] starting run threads in backend
2024-07-20 21:16:31,985 INFO    MainThread:419492 [wandb_run.py:_console_start():1893] atexit reg
2024-07-20 21:16:31,986 INFO    MainThread:419492 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.REDIRECT
2024-07-20 21:16:31,986 INFO    MainThread:419492 [wandb_run.py:_redirect():1771] Redirecting console.
2024-07-20 21:16:31,987 INFO    MainThread:419492 [wandb_run.py:_redirect():1827] Redirects installed.
2024-07-20 21:16:31,987 INFO    MainThread:419492 [wandb_init.py:init():732] run started, returning control to user process
2024-07-20 21:24:38,202 INFO    MainThread:419492 [wandb_run.py:_atexit_cleanup():1862] got exitcode: 255
2024-07-20 21:24:38,202 INFO    MainThread:419492 [wandb_run.py:_restore():1834] restore
